kode,nama,total_in,date_in,no_invoice,harga_satuan
ABC12,Laptop,10,2023-09-30,INV12345,1000
XYZ34,Smartphone,5,2023-09-29,INV67890,500
PQR56,Keyboard,20,2023-09-28,INV54321,150
MNO78,Mouse,15,2023-09-27,INV09876,200
DEF90,Printer,8,2023-09-26,INV65432,300
GHI12,Monitor,12,2023-09-25,INV23456,400
JKL34,Tablet,7,2023-09-24,INV78901,350
STU56,Headphones,18,2023-09-23,INV34567,100
VWX78,Camera,3,2023-09-22,INV90123,250
YZA90,Speakers,6,2023-09-21,INV45678,80
BCD12,Scanner,9,2023-09-20,INV01234,180
EFG34,External Hard Drive,4,2023-09-19,INV56789,120
HIJ56,Projector,11,2023-09-18,INV12345,600
KLM78,Microphone,14,2023-09-17,INV67890,75
NOP90,Graphics Card,2,2023-09-16,INV54321,350
QRS12,Router,13,2023-09-15,INV09876,90
TUV34,Hard Disk Drive,1,2023-09-14,INV65432,180
ABC13,Laptop,10,2023-09-30,INV12346,1000
XYZ35,Smartphone,5,2023-09-29,INV67891,500
PQR57,Keyboard,20,2023-09-28,INV54322,150
MNO79,Mouse,15,2023-09-27,INV09877,200
