kode,nama,total_in,date_in,no_invoice,harga_satuan
ABC12,Laptop,10,2023-09-30,INV12345,1000
XYZ34,Smartphone,5,2023-09-29,INV67890,600
PQR56,Keyboard,20,2023-09-28,INV54321,150
MNO78,Mouse,15,2023-09-27,INV09876,25
DEF90,Printer,8,2023-09-26,INV65432,200
GHI12,Monitor,12,2023-09-25,INV23456,150
JKL34,Tablet,7,2023-09-24,INV78901,300
STU56,Headphones,18,2023-09-23,INV34567,50
VWX78,Camera,3,2023-09-22,INV90123,400
YZA90,Speakers,6,2023-09-21,INV45678,75
BCD12,Scanner,9,2023-09-20,INV01234,80
EFG34,External Hard Drive,4,2023-09-19,INV56789,120
HIJ56,Projector,11,2023-09-18,INV12345,450
KLM78,Microphone,14,2023-09-17,INV67890,90
NOP90,Graphics Card,2,2023-09-16,INV54321,300
QRS12,Router,13,2023-09-15,INV09876,60
TUV34,Hard Disk Drive,1,2023-09-14,INV65432,80
DEF56,Keyboard,10,2023-09-13,INV22222,150
GHI78,Monitor,5,2023-09-12,INV33333,150
JKL90,Tablet,20,2023-09-11,INV44444,300
STU12,Headphones,15,2023-09-10,INV55555,50
VWX34,Camera,8,2023-09-09,INV66666,400
YZA56,Speakers,12,2023-09-08,INV77777,75
BCD78,Scanner,7,2023-09-07,INV88888,80
EFG90,External Hard Drive,18,2023-09-06,INV99999,120
HIJ12,Projector,3,2023-09-05,INV10101,450
KLM34,Microphone,6,2023-09-04,INV12121,90
NOP56,Graphics Card,9,2023-09-03,INV13131,300
QRS78,Router,4,2023-09-02,INV14141,60
TUV90,Hard Disk Drive,11,2023-09-01,INV15151,80
