kode,nama,total_in,date_in,no_invoice,harga_satuan
ALLCE-AY3H-2HP,Alliance AY3H 2HP,10,10/18/2023,INV/20231018/MPL/2116309815,620000
ALLCE-AY3H-075HP,Alliance AYC 075HP,10,10/18/2023,INV/20231018/MPL/2116309816,780000
CETEPE-CTP10000,CETEPE CTP10000,2,10/18/2023,INV/20231018/MPL/2116309817,890000
CETEPE-CTP12000,CETEPE CTP12000,4,10/18/2023,INV/20231018/MPL/2116309818,920000
CETEPE-CTP16000,CETEPE CTP16000,3,10/18/2023,INV/20231018/MPL/2116309819,950000
CETEPE-CTP8000,CETEPE CTP8000,6,10/18/2023,INV/20231018/MPL/2116309820,770000
GR01-CEF16000,GRECH CEF16000,10,10/18/2023,INV/20231018/MPL/2116309821,1600000
GR01-CEF22000,GRECH CEF22000,10,10/18/2023,INV/20231018/MPL/2116309822,1800000
GR01-CEF26000,GRECH CEF26000,5,10/18/2023,INV/20231018/MPL/2116309823,2100000
GR01-CEF30000,Grech CEF30000,10,10/18/2023,INV/20231018/MPL/2116309824,2300000
6955974902321,GRECH CUP803,8,10/18/2023,INV/20231018/MPL/2116309825,455000
6955974903021,Grech CUP807,10,10/18/2023,INV/20231018/MPL/2116309826,500000
02SSG30050903014,GRECH HF500UV,10,10/18/2023,INV/20231018/MPL/2116309827,480000
02SSG30050903015,GRECH HF800UV,10,10/18/2023,INV/20231018/MPL/2116309828,540000
GR01-KOI10000,Grech KOI10000,10,10/18/2023,INV/20231018/MPL/2116309829,1800000
GR01-KOI16000,Grech KOI16000,10,10/18/2023,INV/20231018/MPL/2116309830,2000000
6955974920035,GRECH KOI7000,10,10/18/2023,INV/20231018/MPL/2116309831,1300000
GR01-KOI9000,Grech KOI9000,2,10/18/2023,INV/20231018/MPL/2116309832,1500000
GR01-RAJA10000,GRECH RAJA10000,10,10/18/2023,INV/20231018/MPL/2116309833,1250000
02SSG300505030114,GRECH RAJA12000,10,10/18/2023,INV/20231018/MPL/2116309834,1350000
02SSG300505030115,GRECH RAJA14000,10,10/18/2023,INV/20231018/MPL/2116309835,1450000
02SSG300505030116,GRECH RAJA16000,10,10/18/2023,INV/20231018/MPL/2116309836,1550000
02SSG30050503017,GRECH RAJA3000,2,10/18/2023,INV/20231018/MPL/2116309837,750000
02SSG30050503018,GRECH RAJA3600,10,10/18/2023,INV/20231018/MPL/2116309838,780000
02SSG30050503019,GRECH RAJA4500,2,10/18/2023,INV/20231018/MPL/2116309839,810000
02SSG300505030110,GRECH RAJA5200,10,10/18/2023,INV/20231018/MPL/2116309840,840000
02SSG300505030111,GRECH RAJA6000,10,10/18/2023,INV/20231018/MPL/2116309841,1050000
02SSG300505030112,GRECH RAJA8000,10,10/18/2023,INV/20231018/MPL/2116309842,1080000
HA01-FLAKE30GR,Haifeng Flake 30gr,10,10/18/2023,INV/20231018/MPL/2116309843,40000
HA01-LOUHAN235,Haifeng Louhan 235gr,10,10/18/2023,INV/20231018/MPL/2116309844,85500
SU01-IMPELLERJTP5800,Impeller SUNSUN JTP5800,5,10/18/2023,INV/20231018/MPL/2116309845,110000
SU01-IMPELLERJTP9000,Impeller SUNSUN JTP9000,3,10/18/2023,INV/20231018/MPL/2116309846,410000
02SSG60050516014,JETEPE JTP12000,14,10/18/2023,INV/20231018/MPL/2116309847,910000
02SSG60050516015,JETEPE JTP16000,10,10/18/2023,INV/20231018/MPL/2116309848,980000
02SSG30050516011,JETEPE JTP5800,33,10/18/2023,INV/20231018/MPL/2116309849,640000
02SSG600505160113,JETEPE JTP5800UV,10,10/18/2023,INV/20231018/MPL/2116309850,755000
02SSG60050516012,JETEPE JTP9000,10,10/18/2023,INV/20231018/MPL/2116309851,740000
02SSG600505160114,JETEPE JTP9000UV,5,10/18/2023,INV/20231018/MPL/2116309852,980000
KAYABA-6V4AH,Kayaba 6V 4A,5,10/18/2023,INV/20231018/MPL/2116309853,80000
KE01-BEEF400,Kennels Beef 400g,10,10/18/2023,INV/20231018/MPL/2116309854,25000
KE01-400GR,KENNELS DOG FOOD LAMB 400 GR,10,10/18/2023,INV/20231018/MPL/2116309855,25000
KE01-LAMB400,Kennels Lamb 400g,10,10/18/2023,INV/20231018/MPL/2116309856,25000
KE01-PUPPY400,Kennels Puppy 400g,10,10/18/2023,INV/20231018/MPL/2116309857,25000
KE01-RABBIT400,Kennels Rabbit 400g,10,10/18/2023,INV/20231018/MPL/2116309858,25000
SU01-MEMBRANYT818,Membran YT818-838,13,10/18/2023,INV/20231018/MPL/2116309859,120000
SU01-MEMBRANYT818,Membran YT818-838,13,10/18/2023,INV/20231018/MPL/2116309860,120000
SU01-MEMBRANYT858,Membran YT848-868 CP80,2,10/18/2023,INV/20231018/MPL/2116309861,120000
SU01-MEMBRANYT888,Membran YT878-898 CP180,3,10/18/2023,INV/20231018/MPL/2116309862,130000
PADOVAN-CANT,PADOVAN CANTOVIGOR 30 ML,10,10/18/2023,INV/20231018/MPL/2116309863,90000
